LEMMA	FORM	ROOT_NEW	BW	GLOSS	FEAT	COND-T	COND-S
miykoruwskuwbiy~	miykoruwskuwbiy~	NTWS	ADJ	microscopic	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
muEoTiy	muEoT	E.T.w	NOUN	donor;giving	pos:noun gen:- num:- rat:r cas:u	MS	#iy
miyl	miyl	m.y.l	NOUN	mile	pos:noun gen:- num:- rat:i cas:u	MS||MD	
miylAd	miylAd	w.l.d	NOUN	birthday;birth	pos:noun gen:- num:- rat:i cas:u	MS||MD	
miylAd	miylAd	w.l.d	NOUN	Christian_Era	pos:noun gen:- num:- rat:i cas:u	MS	
miylAd	miylAd	w.l.d	NOUN	Christmas	pos:noun gen:- num:- rat:i cas:u	MS	
miylAdiy~	miylAdiy~	w.l.d	ADJ	A.D.;Christian_Era	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
miylAnuwsAyt	miylAnuwsAyt	NTWS	NOUN	melanocyte	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
miyliy$iyA	miyliy$iy	NTWS	NOUN	militias	pos:noun gen:- num:- rat:i cas:u	MS	#aA
miyliyjrAm	miyliygrAm	NTWS	NOUN	milligram	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
miyliyjrAm	miyliyjrAm	NTWS	NOUN	milligram	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
miyliymitr	miyliymitr	NTWS	NOUN	millimeter	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
miyluwdrAmA	miyluwdrAm	NTWS	NOUN	melodrama	pos:noun gen:f num:- rat:i cas:u	MS	#aA
miyluwdrAmiy~	miyluwdrAmiy~	NTWS	ADJ	melodramatic	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
miym	miym	m.y.m	NOUN	mim_(Arabic_letter)	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
miynA	miyn	NTWS	NOUN	glaze;enamel	pos:noun gen:f num:- rat:i cas:u	MS	#aA
miynA'	mawAn	w.n.y	NOUN	ports;harbors	pos:noun gen:- num:p rat:i cas:u	MS	#iy #dip
miynA'	mawAni}	w.n.y	NOUN	ports;harbors	pos:noun gen:- num:p rat:i cas:u	MS	#dip
miynA'	miyan	w.n.y	NOUN	ports;harbors	pos:noun gen:- num:p rat:i cas:u	MS	
la}iym	lu&amA	l.w.m	ADJ	depraved;wicked	pos:adj gen:m num:p rat:n cas:u	MS	#A' L# #dip
miyniy	miyniy	NTWS	NOUN	mini-	pos:noun gen:- num:- rat:i cas:u	MS	
miyqaEap	miyqaE	w.q.E	NOUN	grindstone	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
miyqAn	miyqAn	y.q.n	NOUN	credulous	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
miyqAt	mawAqiyt	w.q.t	NOUN	timetables;rendezvous_points_and_times	pos:noun gen:- num:p rat:i cas:u	MS	#dip
miyqAt	miyqAt	w.q.t	NOUN	appointed_time;meeting_point	pos:noun gen:- num:- rat:i cas:u	MS||MD	
miyr	>amoyAr	NTWS	NOUN	mayors	pos:noun gen:- num:p rat:r cas:u	MS	
miyr	miyr	NTWS	NOUN	mayor	pos:noun gen:- num:- rat:r cas:u	MS||MD	
miyrAlAy	miyrAlAy	NTWS	NOUN	brigadier_general	pos:noun gen:- num:- rat:r cas:u	MS	#aY-Ap-y
miyrap	miyar	m.y.r	NOUN	provisions;supplies	pos:noun gen:f num:p rat:i cas:u	MS	
miyrap	miyr	m.y.r	NOUN	provisions;supplies	pos:noun gen:- num:- rat:i cas:u	FS	
miyrAv	mawAriyv	w.r.v	NOUN	inheritance;heritage	pos:noun gen:- num:p rat:i cas:u	MS	#dip
miyrAv	miyrAv	w.r.v	NOUN	inheritance;heritage	pos:noun gen:- num:- rat:i cas:u	MS||MD	
miyriy	miyriy	NTWS	NOUN	state	pos:noun gen:- num:- rat:i cas:u	MS	
ra}iys	ru&asA	r.>.s	NOUN	presidents	pos:noun gen:- num:p rat:r cas:u	MS	#A' #dip
miys	>amoyAs	m.#.s	NOUN	targets	pos:noun gen:- num:p rat:i cas:u	MS	
miys	miys	NTWS	NOUN	mess_(communal_table)	pos:noun gen:- num:- rat:i cas:u	MS	
miys	miys	m.#.s	NOUN	target	pos:noun gen:- num:- rat:i cas:u	MS	
miysam	mawAsim	w.s.m	NOUN	brands;stigmas	pos:noun gen:- num:p rat:i cas:u	MS	#dip
miysam	mayAsim	w.s.m	NOUN	brands;stigmas	pos:noun gen:- num:p rat:i cas:u	MS	#dip
miysam	miysam	w.s.m	NOUN	brand;stigma	pos:noun gen:- num:- rat:i cas:u	MS||MD	
miyTadap	miyTad	w.T.d	NOUN	rammer;tamper	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
miytaduwr	miytaduwr	NTWS	NOUN	matador	pos:noun gen:- num:- rat:i cas:u	MS	
miytAfiyziyqA	miytAfiyziyq	NTWS	NOUN	metaphysics	pos:noun gen:f num:- rat:i cas:u	MS	#aA
miytAfiyziyqiy~	miytAfiyziyqiy~	NTWS	ADJ	metaphysical	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
miytap	miyt	m.w.t	NOUN	death	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
miytuwruwluwjiyA	miytuwruwluwjiy	NTWS	NOUN	meteorology	pos:noun gen:f num:- rat:i cas:u	MS	#aA
miyvA	miyv	NTWS	NOUN	meta-	pos:noun gen:f num:- rat:i cas:u	MS	#aA
miyvAq	mawAviyq	w.v.q	NOUN	treaties;pacts;charters	pos:noun gen:- num:p rat:i cas:u	MS	#dip
miyvAq	miyvAq	w.v.q	NOUN	treaty;pact;charter	pos:noun gen:- num:- rat:i cas:u	MS||MD	
miyvAqiy~	miyvAqiy~	w.v.q	ADJ	treaty;pact;charter	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
miyvarap	mawAvir	w.v.r	NOUN	saddlecloths;blankets	pos:noun gen:f num:p rat:i cas:u	MS	#dip
miyvarap	mayAviq	w.v.r	NOUN	saddlecloths;blankets	pos:noun gen:- num:- rat:i cas:u	MS	#dip
miyvarap	miyvar	w.v.r	NOUN	saddlecloth;blanket	pos:noun gen:- num:- rat:i cas:u	FS||FD	
miyvuwluwjiyA	miyvuwluwjiy	NTWS	NOUN	mythology	pos:noun gen:f num:- rat:i cas:u	MS	#aA
miyzAb	mayAziyb	w.z.b	NOUN	drain_pipes;gutters	pos:noun gen:- num:p rat:i cas:u	MS	#dip
miyzAb	miyzAb	w.z.b	NOUN	drain_pipe;gutter	pos:noun gen:- num:- rat:i cas:u	MS||MD	
miyzAn	mawAziyn	w.z.n	NOUN	weight_scales;standards	pos:noun gen:- num:p rat:i cas:u	MS	#dip
miyzAn	mayAziyn	w.z.n	NOUN	weight_scales;standards	pos:noun gen:- num:p rat:i cas:u	MS	#dip
miyzAn	miyzAn	w.z.n	NOUN	balance;weight_scale;standard	pos:noun gen:- num:- rat:i cas:u	MS||MD	
miyzAn	miyzAn	w.z.n	NOUN	weight_scales;measure;meter	pos:noun gen:- num:- rat:i cas:u	MS||MD	
miyzAniy~ap	miyzAniy~	w.z.n	NOUN	balance	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
miyzAniy~ap	miyzAniy~	w.z.n	NOUN	budget	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
miyzAniyn	miyzAniyn	NTWS	NOUN	mezzanine	pos:noun gen:- num:- rat:i cas:u	MS	
miyzap	miyz	m.y.z	NOUN	distinguishing_feature;characteristic;advantage	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
miyzuwbuwtAmiy~	miyzuwbuwtAmiy~	NTWS	ADJ	Mesopotamian	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
miyzuwbuwtAmiy~	miyzuwbuwtAmiy~	NTWS	NOUN	Mesopotamian	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mizaf~ap	mizaf~	z.f.f	NOUN	bridal_sedan	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
mizAj	>amozij	m.z.j	NOUN	mixtures	pos:noun gen:m num:p rat:i cas:u	FS	
mizAj	>amozij	m.z.j	NOUN	moods;temperaments	pos:noun gen:m num:p rat:i cas:u	FS	
mizAj	mizAj	m.z.j	NOUN	mixture	pos:noun gen:- num:- rat:i cas:u	MS	
mizAj	mizAj	m.z.j	NOUN	temperament;mood;feeling	pos:noun gen:- num:- rat:i cas:u	MS	
mizAjiy~	mizAjiy~	m.z.j	ADJ	mood;state_of_mind	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
miZal~ap	maZAl~	Z.l.l	NOUN	parachutes	pos:noun gen:f num:p rat:i cas:u	MS	#dip
miZal~ap	maZAl~	Z.l.l	NOUN	umbrellas	pos:noun gen:f num:p rat:i cas:u	MS	#dip
miZal~ap	miZal~	Z.l.l	NOUN	parachute	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
miZal~ap	miZal~	Z.l.l	NOUN	umbrella	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
miZal~iy~	miZal~iy~	Z.l.l	ADJ	parachutists;paratrooper	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mizobad	mazAbid	z.b.d	NOUN	churns	pos:noun gen:- num:p rat:i cas:u	MS	#dip
mizobad	mizobad	z.b.d	NOUN	churn	pos:noun gen:- num:- rat:i cas:u	FS||FD	
mizobad	mizobad	z.b.d	NOUN	churn	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mizofatap	mazAfit	z.f.t	NOUN	asphalting_machines	pos:noun gen:f num:p rat:i cas:u	MS	#dip
mizofatap	mizofat	z.f.t	NOUN	asphalting_machine	pos:noun gen:- num:- rat:i cas:u	FS||FD	
mizohar	mizohar	z.h.r	NOUN	lute-like_instrument	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mizolaj	mazAlij	z.l.j	NOUN	skates	pos:noun gen:- num:p rat:i cas:u	MS	#dip
mizolAj	mazAliyj	z.l.j	NOUN	sliding_bolt	pos:noun gen:- num:p rat:i cas:u	MS	#dip
mizolAj	mizolAj	z.l.j	NOUN	sliding_bolt	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mizolaj	mizolaj	z.l.j	NOUN	skate	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mizolaq	mizolaq	z.l.q	NOUN	skates	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mizolaqap	mazAliq	z.l.q	NOUN	sleighs;sleds	pos:noun gen:f num:p rat:i cas:u	MS	#dip
mizolaqap	mizolaq	z.l.q	NOUN	sleigh;sled	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
mizomAn	mizomAn	z.m.n	NOUN	chronoscope	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mizomAr	mazAmiyr	z.m.r	NOUN	oboes	pos:noun gen:- num:p rat:i cas:u	MS	#dip
mizomAr	mizomAr	z.m.r	NOUN	oboe	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mizoqap	mizaq	m.z.q	NOUN	pieces;shreds	pos:noun gen:f num:p rat:i cas:u	MS	
mizoqap	mizoq	m.z.q	NOUN	piece;shred	pos:noun gen:- num:- rat:i cas:u	FS||FD	
mizor	mizor	m.z.r	NOUN	beer	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mizorAb	mazAriyb	z.r.b	NOUN	spouts;drains;gutters	pos:noun gen:- num:p rat:i cas:u	MS	#dip
mizorAb	mizorAb	z.r.b	NOUN	spout;drain;gutter	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mizorAq	mazAriyq	z.r.q	NOUN	javelins	pos:noun gen:- num:p rat:i cas:u	MS	#dip
mizorAq	mizorAq	z.r.q	NOUN	javelin	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mizowad	mazAwid	z.w.d	NOUN	provision_sacks	pos:noun gen:- num:p rat:i cas:u	MS	#dip
mizowad	mizowad	z.w.d	NOUN	provision_sack	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mizowAj	mizowAj	z.w.j	NOUN	frequently_marrying	pos:noun gen:- num:- rat:r cas:u	MS||MD||FS||FD||FP	
mizowalap	mazAwil	z.w.l	NOUN	sundials	pos:noun gen:f num:p rat:i cas:u	MS	#dip
mizowalap	mizowal	z.w.l	NOUN	sundial	pos:noun gen:- num:- rat:i cas:u	FS||FD	
mtrwbwlyt	mtrwbwlyt	NTWS	NOUN	archbishop;metropolitan	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mu*abo*ab	mu*abo*ab	*.b.*.b	ADJ	fluctuating;wavering	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu*abo*ib	mu*abo*ib	*.b.*.b	NOUN	oscillator	pos:noun gen:- num:- rat:i cas:u	MS||MD||FS||FD	
mu*AEanap	mu*AEan	*.E.n	NOUN	submissiveness;compliance;obedience	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
mu*ah~ab	mu*ah~ab	*.h.b	ADJ	gilded;golden	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu*ak~ar	mu*ak~ar	*.k.r	ADJ	masculine	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu*ak~ar	mu*ak~ar	*.k.r	NOUN	masculine	pos:noun gen:- num:- rat:i cas:u	MS||MD	
mu*ak~ir	mu*ak~ir	*.k.r	ADJ	reminding;mentioning	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu*ak~irap	mu*ak~ir	*.k.r	NOUN	reminder;memorandum	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
mu*Akarap	mu*Akar	*.k.r	NOUN	negotiation;memorization	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
mu*am~	mu*am~	*.m.m	ADJ	despicable;reprehensible;censured	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu*an~ab	mu*an~ab	*.n.b	NOUN	comet	pos:noun gen:m num:- rat:i cas:u	MS||MD	
mu*an~ab	mu*an~ab	*.n.b	NOUN	comets	pos:noun gen:m num:p rat:i cas:u	FP	
mu*ax~ar	mu*ax~ar	*.x.r	NOUN	saved;hoarded	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu*ax~ar	mu*ax~ar	*.x.r	NOUN	savings;supplies	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu*ax~ir	mu*ax~ir	*.x.r	NOUN	assistant_gunner;ammunition_passer	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu*ax~irap	mu*ax~ir	*.x.r	NOUN	storage_battery;battery	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
mu*ay~al	mu*ay~al	m.*.l	ADJ	extended;added_to;supplemented	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu*il~	mu*il~	*.l.l	ADJ	humiliating;disgraceful	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu*iyE	mu*iyE	*.y.E	ADJ	broadcasting;transmitting;announcing	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu*iyE	mu*iyE	*.y.E	NOUN	broadcaster;transmitter;announcer	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu*oEin	mu*oEin	*.E.n	ADJ	submissive;compliant;obedient	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu*ohil	mu*ohil	*.h.l	ADJ	amazing;startling	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu*onib	mu*onib	*.n.b	ADJ	guilty;delinquent	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&a*~in	mu&a*~in	>.*.n	NOUN	muezzin;caller_to_prayer	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&a$~ar	mu&a$~ar	>.$.r	ADJ	pointed_out;mentioned	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&a$~ir	mu&a$~ir	>.$.r	ADJ	indicating;mentioning;pointing	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&a$~ir	mu&a$~ir	>.$.r	NOUN	indication;indicator;index;measure;gage	pos:noun gen:m num:- rat:i cas:u	MS||MD	
mu&a$~ir	mu&a$~ir	>.$.r	NOUN	indicators;measures;indices;gages	pos:noun gen:m num:p rat:i cas:u	FP	
mu&ab~ad	mu&ab~ad	>.b.d	NOUN	life-long;perpetual	pos:noun gen:- num:- rat:i cas:u	MS||MD||FS||FD	
mu&ab~ir	mu&ab~ir	>.b.r	NOUN	acupuncturist	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&ad~ab	mu&ad~ab	>.d.b	NOUN	well-bred;urbane	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&ad~aY	mu&ad~	>.d.y	NOUN	task;content;significance	pos:noun gen:- num:- rat:i cas:u	MS	#aY-Ap-y
mu&ad~aY	mu&ad~	>.d.y	NOUN	task;content;significance	pos:noun gen:- num:- rat:i cas:u	MS||FS||FD||FP	#aY-Ap-y
mu&ad~ib	mu&ad~ib	>.d.b	NOUN	educator	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&ad~iy	mu&ad~	>.d.y	ADJ	leading;causing	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	#iy
mu&ah~al	mu&ah~al	>.h.l	ADJ	qualified;competent;certified	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&ah~il	mu&ah~il	>.h.l	ADJ	qualifying	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&ah~il	mu&ah~il	>.h.l	NOUN	qualifications;certifications	pos:noun gen:m num:- rat:i cas:u	FP	
mu&aj~al	mu&aj~al	>.j.l	ADJ	postponed;delayed	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&aj~ir	mu&aj~ir	>.j.r	NOUN	lessor;landlord	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&ak~ad	mu&ak~ad	>.k.d	ADJ	certain;guaranteed	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&ak~ad	mu&ak~ad	>.k.d	NOUN	certain;guaranteed	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&ak~id	mu&ak~id	>.k.d	ADJ	assuring;confirming;affirming;guaranteeing	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&Akarap	mu&Akar	>.k.r	NOUN	farming;sharecropping	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
mu&Akil	mu&Akil	>.k.l	NOUN	dinning_companion	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&Akir	mu&Akir	>.k.r	NOUN	farmer;sharecropper	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&akosad	mu&akosad	>.k.s.d	NOUN	oxidized	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&akosid	mu&akosid	>.k.s.d	NOUN	oxidant;oxidizing_agent	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&al~af	mu&al~af	>.l.f	ADJ	composed;synthesized	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&al~af	mu&al~af	>.l.f	NOUN	composition;publication	pos:noun gen:m num:- rat:i cas:u	MS||MD	
mu&al~af	mu&al~af	>.l.f	NOUN	compositions;publications	pos:noun gen:m num:p rat:i cas:u	FP	
mu&al~ib	mu&al~ib	>.l.b	NOUN	rally_leader	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&al~if	mu&al~if	>.l.f	NOUN	author;composer	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&al~is	mu&al~is	>.l.s	NOUN	belittling;disparaging	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&Alafap	mu&Alaf	>.l.f	NOUN	adaptation;association_with	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
mu&alomis	mu&alomis	NTWS	NOUN	diamond	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&am~al	mu&am~al	>.m.l	ADJ	expected;hoped_for	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&am~am	mu&am~am	>.m.m	ADJ	nationalized	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&am~an	mu&am~an	>.m.n	ADJ	guaranteed;insured	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&am~ar	mu&am~ar	>.m.r	NOUN	empowered	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&am~il	mu&am~il	>.m.l	NOUN	hopeful	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&am~in	mu&am~in	>.m.n	ADJ	guaranteeing;insuring	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&am~in	mu&am~in	>.m.n	NOUN	guarantor;insurer	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&Amarap	mu&Amar	>.m.r	NOUN	plot;conspiracy	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
mu&an~av	mu&an~av	>.n.v	NOUN	feminine;effeminate	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&Anasap	mu&Anas	>.n.s	NOUN	conviviality;cordiality	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
mu&aq~at	mu&aq~at	w.q.t	ADJ	temporary;provisional	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&aqolam	mu&aqolam	>.q.l.m	NOUN	acclimated;adjusted	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&ar~aD	mu&ar~aD	>.r.D	NOUN	grounded_(antenna,_airplane)	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&ar~ax	mu&ar~ax	>.r.x	ADJ	dated;reported	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&ar~ix	mu&ar~ix	>.r.x	NOUN	historian;chronicler	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&as~al	mu&as~al	>.s.l	NOUN	pointed;tapered	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&as~asap	mu&as~as	>.s.s	NOUN	institution;organization	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
mu&as~asAtiy~	mu&as~asAtiy~	>.s.s	ADJ	institutional;organizational	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&as~asiy~	mu&as~asiy~	>.s.s	ADJ	institutional;organizational	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&as~is	mu&as~is	>.s.s	ADJ	founding;constituent	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&as~is	mu&as~is	>.s.s	NOUN	founder	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&AsAp	mu&As	>.s.w	NOUN	consolation;charity	pos:noun gen:f num:p rat:i cas:u	FS||FD||FP	#aA-Ap-w
mu&Asiy	mu&As	>.s.w	NOUN	comforting;consoling	pos:noun gen:- num:- rat:r cas:u	MP	#iy
mufotariy	mufotar	f.r.y	NOUN	liar;slanderer	pos:noun gen:- num:- rat:r cas:u	MS	#iy
mu&Asiy	mu&Asiy	>.s.w	NOUN	comforting;consoling	pos:noun gen:- num:- rat:r cas:u	FS||FD||FP	
mu&asolam	mu&asolam	s.l.m	ADJ	Islamicized;Islamified	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&aT~ar	mu&aT~ar	>.T.r	NOUN	framed;in_context	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&Atiy	mu&At	>.t.y	ADJ	favorable;suitable	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	#iy
mu&av~al	mu&av~al	>.v.l	NOUN	deep-rooted;highborn	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&av~av	mu&av~av	>.v.v	NOUN	furnished	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&av~ir	mu&av~ir	>.v.r	ADJ	influential;impressive	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&aworab	mu&aworab	>.w.r.b	ADJ	Europeanized	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&aworab	mu&aworab	>.w.r.b	NOUN	Europeanized	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&ax~ar	mu&ax~ar	>.x.r	ADJ	delayed;deferred	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&ax~ar	mu&ax~ar	>.x.r	NOUN	rear;back	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
mu&ax~arap	mu&ax~ar	>.x.r	NOUN	rear;rear_positions	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
mu&Axa*	mu&Axa*	>.x.*	NOUN	responsible;accountable	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&Axa*ap	mu&Axa*	>.x.*	NOUN	offense	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
mu&AxAp	mu&Ax	>.x.w	NOUN	fraternization	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	#aA-Ap-w
mu&AxAp	muwAx	>.x.w	NOUN	fraternization	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	#aA-Ap-w
mu&ay~id	mu&ay~id	>.y.d	ADJ	supporting	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&ay~id	mu&ay~id	>.y.d	NOUN	supporter;partisan	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
mu&ay~in	mu&ay~in	>.y.n	ADJ	ionized	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&Azarap	mu&Azar	>.z.r	NOUN	assistance;cooperation	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
mufotiy	mufot	f.t.w	NOUN	mufti_(Muslim_legal_scholar)	pos:noun gen:- num:- rat:r cas:u	MS	#iy
mu&o*iy	mu&o*	>.*.y	NOUN	harmful;offensive	pos:noun gen:- num:- rat:i cas:u	MP	#iy
mu&o*iy	mu&o*iy	>.*.y	NOUN	harmful;offensive	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
mu&olim	mu&olim	>.l.m	ADJ	painful;distressing	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
mu&omin	mu&omin	>.m.n	ADJ	believing	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
